업체코드,메뉴명,메뉴카테고리,메뉴가격,메뉴내용
ST029,아메리카노,음료,4000,
ST030,전주비빔밥,비빔밥,14000,대표메뉴
ST030,전주한정식,한정식,28000,인기메뉴
ST030,콩나물국밥,국밥,9000,
ST030,육회,사이드,22000,
ST031,전주한정식,한정식,30000,대표메뉴
ST031,비빔밥정식,비빔밥,16000,인기메뉴
ST031,전통주,음료,8000,
ST031,잡채,사이드,12000,
ST032,전주비빔밥,비빔밥,12000,대표메뉴
ST032,육회비빔밥,비빔밥,15000,인기메뉴
ST032,돌솥비빔밥,비빔밥,13000,
ST032,된장국,국,2000,
ST033,전주비빔밥,비빔밥,13000,대표메뉴
ST033,한정식,한정식,25000,인기메뉴
ST033,콩나물국밥,국밥,9000,
ST033,전통주,음료,6000,
ST034,피순대국밥,국밥,8000,대표메뉴
ST034,콩나물국밥,국밥,8000,인기메뉴
ST034,모듬순대,사이드,12000,
ST034,막걸리,음료,4000,
ST035,전주비빔밥,비빔밥,13000,대표메뉴
ST035,돌솥비빔밥,비빔밥,14000,인기메뉴
ST035,육회비빔밥,비빔밥,16000,
ST035,콩나물국,국,2000,
ST036,콩나물국밥,국밥,8000,대표메뉴
ST036,황태콩나물국밥,국밥,9000,인기메뉴
ST036,피순대국밥,국밥,9000,
ST036,수육,사이드,18000,
ST037,전주한정식,한정식,35000,대표메뉴
ST037,비빔밥정식,비빔밥,18000,인기메뉴
ST037,전통주코스,음료,20000,
ST037,전주육회,사이드,25000,
ST038,피순대국밥,국밥,9000,대표메뉴
ST038,모듬순대,사이드,13000,인기메뉴
ST038,순대볶음,볶음,14000,
ST038,막걸리,음료,4000,
ST039,전주비빔밥,비빔밥,13000,대표메뉴
ST039,콩나물국밥,국밥,9000,인기메뉴
ST039,돌솥비빔밥,비빔밥,14000,
ST039,된장국,국,2000,
ST040,화심순두부,찌개,9000,대표메뉴
ST040,얼큰순두부,찌개,9000,인기메뉴
ST040,청국장,찌개,9000,
ST040,보리밥,밥,3000,
ST041,전주콩나물국밥,국밥,9000,대표메뉴
ST041,피순대국밥,국밥,10000,인기메뉴
ST041,황태해장국,국밥,10000,
ST041,수육,사이드,18000,
ST042,칼국수,면,9000,대표메뉴
ST042,비빔국수,면,8000,인기메뉴
ST042,수제만두,사이드,7000,
ST042,만두국,국,9000,
ST043,콩나물국밥,국밥,8000,대표메뉴
ST043,황태콩나물국밥,국밥,9000,인기메뉴
ST043,피순대국밥,국밥,9000,
ST043,공기밥 추가,사이드,1000,
ST044,오모가리김치찌개,찌개,9000,대표메뉴
ST044,참치김치찌개,찌개,10000,인기메뉴
ST044,제육볶음,볶음,10000,
ST044,공기밥,사이드,1000,
ST045,팥빙수,디저트,9000,대표메뉴
ST045,전통식혜,음료,4000,인기메뉴
ST045,수정과,음료,4000,
ST045,약식,디저트,6000,
ST046,칡냉면,냉면,10000,대표메뉴
ST046,비빔냉면,냉면,10000,인기메뉴
ST046,온면,면,9000,
ST046,수육,사이드,18000,
ST047,보리밥정식,정식,12000,대표메뉴
ST047,쌈밥정식,정식,13000,인기메뉴
ST047,된장찌개,찌개,2000,
ST047,나물모듬,사이드,5000,
ST048,콩나물국밥,국밥,9000,대표메뉴
ST048,피순대국밥,국밥,9000,인기메뉴
ST048,수육,사이드,20000,
ST048,막걸리,음료,4000,
ST049,뼈다귀해장국,국밥,10000,대표메뉴
ST049,순대국밥,국밥,9000,인기메뉴
ST049,내장국밥,국밥,9000,
ST049,소주,음료,5000,
ST050,짜장면,중식,7000,대표메뉴
ST050,짬뽕,중식,9000,인기메뉴
ST050,탕수육(소),중식,18000,
ST050,볶음밥,중식,8000,
ST051,전주한정식,한정식,28000,대표메뉴
ST051,비빔밥정식,비빔밥,15000,인기메뉴
ST051,갈비찜,찜,30000,
ST051,전통주,음료,8000,
ST052,전주비빔밥,비빔밥,13000,대표메뉴
ST052,콩나물국밥,국밥,9000,인기메뉴
ST052,육회비빔밥,비빔밥,16000,
ST052,전주막걸리,음료,4000,
ST053,전주한정식,한정식,32000,대표메뉴
ST053,비빔밥코스,비빔밥,20000,인기메뉴
ST053,전통주모둠,음료,18000,
ST053,잡채,사이드,12000,
ST054,콩나물국밥,국밥,8000,대표메뉴
ST054,피순대국밥,국밥,9000,인기메뉴
ST054,모듬순대,사이드,12000,
ST054,막걸리,음료,4000,
ST055,전주한정식,한정식,30000,대표메뉴
ST055,향토비빔밥,비빔밥,15000,인기메뉴
ST055,갈비찜,찜,28000,
ST055,전통주,음료,7000,
ST056,나물비빔밥,비빔밥,11000,대표메뉴
ST056,돌솥나물비빔밥,비빔밥,12000,인기메뉴
ST056,된장찌개,찌개,2000,
ST056,보리밥,밥,3000,
ST057,삼겹살,구이,14000,대표메뉴
ST057,항정살,구이,16000,인기메뉴
ST057,된장찌개,찌개,2000,
ST057,냉면,냉면,8000,
ST058,뼈다귀해장국,국밥,10000,대표메뉴
ST058,순대국밥,국밥,9000,인기메뉴
ST058,콩나물국밥,국밥,8000,
ST058,소주,음료,5000,
ST059,젓갈백반,한정식,13000,대표메뉴
ST059,곰소젓갈정식,한정식,15000,인기메뉴
ST059,보리밥,밥,3000,
ST059,된장찌개,찌개,2000,
ST060,전주비빔밥,비빔밥,13000,대표메뉴
ST060,한정식,한정식,25000,인기메뉴
ST060,콩나물국밥,국밥,9000,
ST060,육회비빔밥,비빔밥,16000,
ST061,스테이크,양식,35000,대표메뉴
ST061,파스타,양식,18000,인기메뉴
ST061,샐러드,사이드,10000,
ST061,아메리카노,음료,5000,
ST062,육회비빔밥,비빔밥,16000,대표메뉴
ST062,전주비빔밥,비빔밥,13000,인기메뉴
ST062,육회,사이드,22000,
ST062,돌솥비빔밥,비빔밥,14000,
ST063,설렁탕,탕,10000,대표메뉴
ST063,도가니설렁탕,탕,14000,인기메뉴
ST063,꼬리곰탕,탕,16000,
ST063,수육,사이드,20000,
ST064,콩나물국밥,국밥,8000,대표메뉴
ST064,황태콩나물국밥,국밥,9000,인기메뉴
ST064,피순대국밥,국밥,9000,
ST064,공기밥 추가,사이드,1000,
ST065,한우갈비,구이,50000,대표메뉴
ST065,갈비찜,찜,35000,인기메뉴
ST065,갈비탕,탕,15000,
ST065,냉면,냉면,9000,
ST066,전주한정식,한정식,35000,대표메뉴
ST066,비빔밥코스,비빔밥,22000,인기메뉴
ST066,전통주모둠,음료,20000,
ST066,갈비찜,찜,30000,
ST067,춘천식닭갈비,볶음,13000,대표메뉴
ST067,치즈닭갈비,볶음,15000,인기메뉴
ST067,볶음밥,밥,3000,
ST067,막국수,면,8000,
ST068,추어탕,탕,11000,대표메뉴
ST068,추어튀김,튀김,12000,인기메뉴
ST068,추어정식,정식,14000,
ST068,공기밥,사이드,1000,
ST069,소갈비,구이,45000,대표메뉴
ST069,갈비찜,찜,35000,인기메뉴
ST069,갈비탕,탕,14000,
ST069,냉면,냉면,9000,
ST070,전주불고기,구이,13000,대표메뉴
ST070,불고기전골,전골,15000,인기메뉴
ST070,된장찌개,찌개,2000,
ST070,냉면,냉면,8000,
ST071,낙지볶음,볶음,14000,대표메뉴
ST071,낙지전골,전골,35000,인기메뉴
ST071,연포탕,탕,13000,
ST071,낙지회,회,25000,
ST072,평양냉면,냉면,12000,대표메뉴
ST072,비빔냉면,냉면,12000,인기메뉴
ST072,왕만두,사이드,8000,
ST072,수육,사이드,20000,
ST073,홍어삼합,한식,35000,대표메뉴
ST073,돼지수육,사이드,20000,인기메뉴
ST073,막걸리,음료,4000,
ST073,묵은지,사이드,5000,
ST074,꽃게탕,탕,35000,대표메뉴
ST074,꽃게찜,찜,38000,인기메뉴
ST074,바지락칼국수,면,10000,
ST074,소주,음료,5000,
ST075,전주한정식,한정식,30000,대표메뉴
ST075,비빔밥정식,비빔밥,16000,인기메뉴
ST075,갈비찜,찜,28000,
ST075,전통주,음료,8000,
ST076,한우갈비,구이,48000,대표메뉴
ST076,갈비탕,탕,14000,인기메뉴
ST076,갈비찜,찜,38000,
ST076,냉면,냉면,9000,
ST077,피순대국밥,국밥,8000,대표메뉴
ST077,콩나물국밥,국밥,8000,인기메뉴
ST077,모듬순대,사이드,12000,
ST077,막걸리,음료,4000,
ST078,군산짬뽕,중식,10000,대표메뉴
ST078,짜장면,중식,7000,인기메뉴
ST078,탕수육(소),중식,18000,
ST078,볶음밥,중식,8000,
ST079,전통막걸리,음료,4000,대표메뉴
ST079,파전,안주,12000,인기메뉴
ST079,두부김치,안주,10000,
ST079,빈대떡,안주,12000,
ST080,전주비빔밥,비빔밥,13000,대표메뉴
ST080,한정식,한정식,28000,인기메뉴
ST080,갈비탕,탕,14000,
ST080,냉면,냉면,9000,
ST081,전주비빔밥,비빔밥,12000,대표메뉴
ST081,콩나물국밥,국밥,8000,인기메뉴
ST081,한정식,한정식,25000,
ST081,육회비빔밥,비빔밥,15000,
ST082,제육볶음정식,정식,10000,대표메뉴
ST082,된장찌개정식,정식,9000,인기메뉴
ST082,비빔밥,비빔밥,9000,
ST082,공기밥,사이드,1000,
ST083,전주불고기,구이,13000,대표메뉴
ST083,불고기전골,전골,15000,인기메뉴
ST083,냉면,냉면,8000,
ST083,된장찌개,찌개,2000,
ST084,백년순대국밥,국밥,9000,대표메뉴
ST084,피순대국밥,국밥,9000,인기메뉴
ST084,모듬순대,사이드,13000,
ST084,수육,사이드,18000,
ST085,전주비빔밥,비빔밥,13000,대표메뉴
ST085,돌솥비빔밥,비빔밥,14000,인기메뉴
ST085,콩나물국밥,국밥,9000,
ST085,된장국,국,2000,
ST086,경기전비빔밥,비빔밥,14000,대표메뉴
ST086,육회비빔밥,비빔밥,17000,인기메뉴
ST086,전통주,음료,6000,
ST086,전주막걸리,음료,4000,
ST087,피순대국밥,국밥,9000,대표메뉴
ST087,내장국밥,국밥,8000,인기메뉴
ST087,모듬순대,사이드,12000,
ST087,막걸리,음료,4000,
ST088,전주육개장,탕,10000,대표메뉴
ST088,육개장정식,정식,13000,인기메뉴
ST088,공기밥 추가,사이드,1000,
ST088,깍두기,사이드,0,
ST089,고사리비빔밥,비빔밥,11000,대표메뉴
ST089,나물비빔밥,비빔밥,10000,인기메뉴
ST089,된장찌개,찌개,2000,
ST089,보리밥,밥,3000,
ST090,한우갈비,구이,50000,대표메뉴
ST090,삼겹살,구이,14000,인기메뉴
ST090,갈비탕,탕,14000,
ST090,냉면,냉면,9000,
ST091,떡볶이,분식,5000,대표메뉴
ST091,순대,분식,5000,인기메뉴
ST091,튀김모둠,분식,6000,
ST091,어묵국물,분식,1000,
ST092,낙지볶음,볶음,15000,대표메뉴
ST092,낙지전골,전골,38000,인기메뉴
ST092,쭈꾸미볶음,볶음,14000,
ST092,연포탕,탕,13000,
ST093,콩나물냉국수,면,9000,대표메뉴
ST093,비빔국수,면,8000,인기메뉴
ST093,콩나물국밥,국밥,8000,
ST093,수육,사이드,18000,
ST094,돼지국밥,국밥,8000,대표메뉴
ST094,순대국밥,국밥,8000,인기메뉴
ST094,모듬수육,사이드,20000,
ST094,막걸리,음료,4000,
ST095,전주비빔밥,비빔밥,12000,대표메뉴
ST095,콩나물국밥,국밥,8000,인기메뉴
ST095,돌솥비빔밥,비빔밥,13000,
ST095,된장국,국,2000,
ST096,천년비빔밥,비빔밥,15000,대표메뉴
ST096,육회비빔밥,비빔밥,18000,인기메뉴
ST096,전주한정식,한정식,30000,
ST096,전통주,음료,7000,
ST097,전주비빔밥,비빔밥,12000,대표메뉴
ST097,돌솥비빔밥,비빔밥,13000,인기메뉴
ST097,나물비빔밥,비빔밥,11000,
ST097,콩나물국,국,2000,
ST098,전주한정식,한정식,32000,대표메뉴
ST098,비빔밥코스,비빔밥,20000,인기메뉴
ST098,갈비찜,찜,30000,
ST098,전통주,음료,8000,
ST099,미향한정식,한정식,30000,대표메뉴
ST099,전주비빔밥,비빔밥,14000,인기메뉴
ST099,갈비찜,찜,28000,
ST099,전통주,음료,7000,
ST100,전주비빔밥,비빔밥,13000,대표메뉴
ST100,한정식,한정식,26000,인기메뉴
ST100,콩나물국밥,국밥,9000,
ST100,육회비빔밥,비빔밥,16000,
