업체명,업체코드,업체카테고리,주소,전화번호,영업시간,별점,위도,경도,업체사진,편의성정보,주차여부
미가식당,ST011,한식/일반,전북 전주시 덕진구 백제대로 43,063-270-1187,09:00~21:00,4.7,35.8454,127.1300,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
진미집,ST012,한식/일반,전북 전주시 덕진구 백제대로 46,063-270-1204,10:00~22:00,4.5,35.8487,127.1317,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
전주육회비빔밥(전북대점),ST013,한식/비빔밥,전북 전주시 덕진구 백제대로 49,063-270-1221,07:30~15:00,4.2,35.8472,127.1378,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
콩심,ST014,한식/일반,전북 전주시 덕진구 백제대로 52,063-270-1238,11:00~21:00,4.8,35.8449,127.1290,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
오래된정원,ST015,한식/일반,전북 전주시 덕진구 백제대로 55,063-270-1255,08:00~22:00,4.1,35.8495,127.1385,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
화심순두부(전북대점),ST016,한식/두부요리,전북 전주시 덕진구 백제대로 58,063-270-1272,07:00~21:00,4.6,35.8446,127.1282,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
하숙생갈비,ST017,한식/구이,전북 전주시 덕진구 백제대로 61,063-270-1289,09:00~20:00,4.4,35.8499,127.1393,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
가마솥국밥,ST018,한식/국밥,전북 전주시 덕진구 백제대로 64,063-270-1306,08:00~21:00,4.3,35.8442,127.1273,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
전주쌈밥,ST019,한식/한정식,전북 전주시 덕진구 백제대로 67,063-270-1323,07:00~20:00,4.5,35.8503,127.1400,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
대동문,ST020,한식/일반,전북 전주시 덕진구 백제대로 70,063-270-1340,09:00~21:00,3.9,35.8438,127.1265,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
한국집,ST021,한식/일반,전북 전주시 완산구 기린대로 73,063-280-1357,10:00~22:00,4.0,35.8149,127.1531,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
고궁,ST022,한식/일반,전북 전주시 완산구 기린대로 76,063-280-1374,07:30~15:00,4.2,35.8153,127.1538,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
전주비빔밥(한옥마을점),ST023,한식/비빔밥,전북 전주시 완산구 기린대로 79,063-280-1391,11:00~21:00,4.5,35.8157,127.1545,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
베테랑칼국수,ST024,한식/칼국수,전북 전주시 완산구 기린대로 82,063-280-1408,08:00~22:00,4.3,35.8143,127.1524,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
하숙영가마솥비빔밥,ST025,한식/비빔밥,전북 전주시 완산구 기린대로 85,063-280-1425,07:00~21:00,4.2,35.8161,127.1552,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
현대옥(한옥마을점),ST026,한식/일반,전북 전주시 완산구 기린대로 88,063-280-1442,09:00~20:00,4.5,35.8138,127.1517,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
전주막걸리(경원동),ST027,한식/주점,전북 전주시 완산구 기린대로 91,063-280-1459,08:00~21:00,4.7,35.8165,127.1559,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
삼백집,ST028,한식/일반,전북 전주시 완산구 기린대로 94,063-280-1476,07:00~20:00,4.3,35.8132,127.1510,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
풍년제과(한옥마을점),ST029,베이커리/카페,전북 전주시 완산구 기린대로 97,063-280-1493,09:00~21:00,4.8,35.8169,127.1566,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
가족회관,ST030,한식/한정식,전북 전주시 완산구 기린대로 100,063-280-1510,10:00~22:00,4.1,35.8127,127.1503,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
천년향,ST031,한식/일반,전북 전주시 완산구 기린대로 103,063-280-1527,07:30~15:00,4.6,35.8173,127.1573,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
전주비빔밥식당,ST032,한식/비빔밥,전북 전주시 완산구 기린대로 106,063-280-1544,11:00~21:00,4.4,35.8122,127.1496,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
교동,ST033,한식/일반,전북 전주시 완산구 기린대로 109,063-280-1561,08:00~22:00,4.9,35.8177,127.1580,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
남부시장국밥,ST034,한식/국밥,전북 전주시 완산구 기린대로 112,063-280-1578,07:00~21:00,4.0,35.8116,127.1489,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
명가전주비빔밥,ST035,한식/비빔밥,전북 전주시 완산구 기린대로 115,063-280-1595,09:00~20:00,4.3,35.8181,127.1587,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
왱이집,ST036,한식/일반,전북 전주시 완산구 기린대로 118,063-280-1612,08:00~21:00,4.7,35.8111,127.1482,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
한벽루,ST037,한식/일반,전북 전주시 완산구 기린대로 121,063-280-1629,07:00~20:00,4.5,35.8185,127.1594,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
조점례남문피순대,ST038,한식/국밥,전북 전주시 완산구 기린대로 124,063-280-1646,09:00~21:00,4.2,35.8106,127.1475,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
전주집,ST039,한식/일반,전북 전주시 완산구 기린대로 127,063-280-1663,10:00~22:00,4.8,35.8189,127.1601,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
화심순두부(한옥마을점),ST040,한식/두부요리,전북 전주시 완산구 기린대로 130,063-280-1680,07:30~15:00,4.1,35.8100,127.1468,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
현대옥(객사점),ST041,한식/일반,전북 전주시 완산구 객사3길 133,063-285-1697,11:00~21:00,4.6,35.8197,127.1499,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
베테랑칼국수(객사점),ST042,한식/칼국수,전북 전주시 완산구 객사3길 136,063-285-1714,08:00~22:00,4.4,35.8201,127.1506,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
전주콩나물국밥(객사점),ST043,한식/국밥,전북 전주시 완산구 객사3길 139,063-285-1731,07:00~21:00,4.3,35.8205,127.1513,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
오모가리김치찌개,ST044,한식/찌개,전북 전주시 완산구 객사3길 142,063-285-1748,09:00~20:00,4.5,35.8193,127.1492,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
수성당,ST045,한식/일반,전북 전주시 완산구 객사3길 145,063-285-1765,08:00~21:00,3.9,35.8209,127.1520,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
반촌칡냉면,ST046,한식/냉면,전북 전주시 완산구 객사3길 148,063-285-1782,07:00~20:00,4.0,35.8188,127.1485,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
전주보리밥(객사점),ST047,한식/한정식,전북 전주시 완산구 객사3길 151,063-285-1799,09:00~21:00,4.2,35.8213,127.1527,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
삼백집(객사점),ST048,한식/일반,전북 전주시 완산구 객사3길 154,063-285-1816,10:00~22:00,4.5,35.8183,127.1478,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
해리단길국밥,ST049,한식/국밥,전북 전주시 완산구 객사3길 157,063-285-1833,07:30~15:00,4.3,35.8217,127.1534,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
신성루,ST050,한식/일반,전북 전주시 완산구 객사3길 160,063-285-1850,11:00~21:00,4.2,35.8179,127.1471,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
대화관,ST051,한식/일반,전북 전주시 완산구 객사3길 163,063-285-1867,08:00~22:00,4.5,35.8221,127.1541,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
전주옥,ST052,한식/일반,전북 전주시 완산구 객사3길 166,063-285-1884,07:00~21:00,4.7,35.8174,127.1464,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
라궁,ST053,한식/일반,전북 전주시 완산구 객사3길 169,063-285-1901,09:00~20:00,4.3,35.8225,127.1548,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
만복,ST054,한식/일반,전북 전주시 완산구 객사3길 172,063-285-1918,08:00~21:00,4.8,35.8170,127.1457,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
전주향토관,ST055,한식/한정식,전북 전주시 완산구 객사3길 175,063-285-1935,07:00~20:00,4.1,35.8229,127.1555,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
나물비빔밥,ST056,한식/비빔밥,전북 전주시 완산구 객사3길 178,063-285-1952,09:00~21:00,4.6,35.8165,127.1450,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
청목,ST057,한식/일반,전북 전주시 완산구 객사3길 181,063-285-1969,10:00~22:00,4.4,35.8233,127.1562,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
객리단길국밥,ST058,한식/국밥,전북 전주시 완산구 객사3길 184,063-285-1986,07:30~15:00,4.9,35.8161,127.1443,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
곰소젓갈백반,ST059,한식/한정식,전북 전주시 완산구 객사3길 187,063-285-2003,11:00~21:00,4.0,35.8237,127.1569,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
중앙회관,ST060,한식/한정식,전북 전주시 완산구 객사3길 190,063-285-2020,08:00~22:00,4.3,35.8157,127.1436,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
더테이블(신시가지),ST061,한식/일반,전북 전주시 완산구 효자로 193,063-290-2037,07:00~21:00,4.7,35.8380,127.1220,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
전주육회비빔밥(신시가지점),ST062,한식/비빔밥,전북 전주시 완산구 효자로 196,063-290-2054,09:00~20:00,4.5,35.8384,127.1227,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
한가람설렁탕,ST063,한식/탕류,전북 전주시 완산구 효자로 199,063-290-2071,08:00~21:00,4.2,35.8388,127.1234,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
신시가지콩나물국밥,ST064,한식/국밥,전북 전주시 완산구 효자로 202,063-290-2088,07:00~20:00,4.8,35.8376,127.1213,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
솔밭가든,ST065,한식/일반,전북 전주시 완산구 효자로 205,063-290-2105,09:00~21:00,4.1,35.8392,127.1241,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
이조참판댁,ST066,한식/일반,전북 전주시 완산구 효자로 208,063-290-2122,10:00~22:00,4.6,35.8372,127.1206,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
진미닭갈비,ST067,한식/구이,전북 전주시 완산구 효자로 211,063-290-2139,07:30~15:00,4.4,35.8396,127.1248,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
남원추어탕(신시가지점),ST068,한식/탕류,전북 전주시 완산구 효자로 214,063-290-2156,11:00~21:00,4.3,35.8368,127.1199,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
황소갈비,ST069,한식/구이,전북 전주시 완산구 효자로 217,063-290-2173,08:00~22:00,4.5,35.8400,127.1255,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
전주불고기(신시가지),ST070,한식/구이,전북 전주시 완산구 효자로 220,063-290-2190,07:00~21:00,3.9,35.8364,127.1192,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
새만금낙지,ST071,한식/해산물,전북 전주시 완산구 효자로 223,063-290-2207,09:00~20:00,4.0,35.8404,127.1262,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
평양냉면(신시가지),ST072,한식/냉면,전북 전주시 완산구 효자로 226,063-290-2224,08:00~21:00,4.2,35.8360,127.1185,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
전주삼합,ST073,한식/구이,전북 전주시 완산구 효자로 229,063-290-2241,07:00~20:00,4.5,35.8408,127.1269,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
충남집(신시가지),ST074,한식/일반,전북 전주시 완산구 효자로 232,063-290-2258,09:00~21:00,4.3,35.8356,127.1178,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
전주한정식(신시가지),ST075,한식/한정식,전북 전주시 완산구 효자로 235,063-290-2275,10:00~22:00,4.2,35.8412,127.1276,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
명인갈비(신시가지),ST076,한식/구이,전북 전주시 완산구 효자로 238,063-290-2292,07:30~15:00,4.5,35.8352,127.1171,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
도깨비시장국밥,ST077,한식/국밥,전북 전주시 완산구 효자로 241,063-290-2309,11:00~21:00,4.7,35.8416,127.1283,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
군산짬뽕(신시가지),ST078,중식,전북 전주시 완산구 효자로 244,063-290-2326,08:00~22:00,4.3,35.8348,127.1164,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
전주막걸리(신시가지),ST079,한식/주점,전북 전주시 완산구 효자로 247,063-290-2343,07:00~21:00,4.8,35.8420,127.1290,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
삼성각,ST080,한식/일반,전북 전주시 완산구 효자로 250,063-290-2360,09:00~20:00,4.1,35.8344,127.1157,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
시내회관,ST081,한식/한정식,전북 전주시 덕진구 백제대로 253,063-270-2377,08:00~21:00,4.6,35.8507,127.1412,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
전주향미집,ST082,한식/일반,전북 전주시 덕진구 백제대로 256,063-270-2394,07:00~20:00,4.4,35.8433,127.1257,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
동문불고기,ST083,한식/구이,전북 전주시 덕진구 백제대로 259,063-270-2411,09:00~21:00,4.9,35.8511,127.1419,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
백년토종순대,ST084,한식/국밥,전북 전주시 완산구 기린대로 262,063-280-2428,10:00~22:00,4.0,35.8094,127.1461,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
다가정,ST085,한식/일반,전북 전주시 완산구 기린대로 265,063-280-2445,07:30~15:00,4.3,35.8088,127.1454,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
경기전비빔밥,ST086,한식/비빔밥,전북 전주시 완산구 기린대로 268,063-280-2462,11:00~21:00,4.7,35.8082,127.1447,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
원조피순대국밥,ST087,한식/국밥,전북 전주시 완산구 객사3길 271,063-285-2479,08:00~22:00,4.5,35.8241,127.1576,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
전주육개장,ST088,한식/탕류,전북 전주시 완산구 객사3길 274,063-285-2496,07:00~21:00,4.2,35.8245,127.1583,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
고사리비빔밥,ST089,한식/비빔밥,전북 전주시 완산구 객사3길 277,063-285-2513,09:00~20:00,4.8,35.8153,127.1429,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
청솔가든,ST090,한식/일반,전북 전주시 완산구 효자로 280,063-290-2530,08:00~21:00,4.1,35.8340,127.1150,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
맛나분식(신시가지),ST091,분식,전북 전주시 완산구 효자로 283,063-290-2547,07:00~20:00,4.6,35.8424,127.1297,https://images.unsplash.com/photo-1569050467447-ce54b3bbc37d?w=600,남녀화장실구분|포장가능|예약가능,가능
대왕낙지,ST092,한식/해산물,전북 전주시 완산구 효자로 286,063-290-2564,09:00~21:00,4.4,35.8336,127.1143,https://images.unsplash.com/photo-1583224964978-2ba55b67e6d5?w=600,포장가능|배달가능|단체석,불가
전주콩나물냉국수,ST093,한식/국밥,전북 전주시 완산구 효자로 289,063-290-2581,10:00~22:00,4.3,35.8428,127.1304,https://images.unsplash.com/photo-1637671858903-c24d4e24e9ea?w=600,남녀화장실구분|배달가능|예약가능,가능
금복집,ST094,한식/일반,전북 전주시 덕진구 백제대로 292,063-270-2598,07:30~15:00,4.5,35.8515,127.1426,https://images.unsplash.com/photo-1611532736597-de2d4265fba3?w=600,포장가능|예약가능|단체석,불가
인성옥,ST095,한식/일반,전북 전주시 덕진구 백제대로 295,063-270-2615,11:00~21:00,3.9,35.8428,127.1249,https://images.unsplash.com/photo-1498654896293-37aacf113fd9?w=600,남녀화장실구분|포장가능,가능
전주비빔밥천년관,ST096,한식/비빔밥,전북 전주시 완산구 기린대로 298,063-280-2632,08:00~22:00,4.0,35.8076,127.1440,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=600,포장가능|배달가능,불가
전통비빔밥집,ST097,한식/비빔밥,전북 전주시 완산구 기린대로 301,063-280-2649,07:00~21:00,4.2,35.8070,127.1433,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600,남녀화장실구분|단체석|예약가능,가능
청풍명월,ST098,한식/일반,전북 전주시 완산구 객사3길 304,063-285-2666,09:00~20:00,4.5,35.8249,127.1590,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=600,포장가능|단체석,가능
미향,ST099,한식/일반,전북 전주시 완산구 효자로 307,063-290-2683,08:00~21:00,4.3,35.8332,127.1136,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600,남녀화장실구분|포장가능|배달가능|단체석,불가
홍익회관,ST100,한식/한정식,전북 전주시 완산구 효자로 310,063-290-2700,07:00~20:00,4.2,35.8432,127.1311,https://images.unsplash.com/photo-1590301157890-4810ed352733?w=600,남녀화장실구분|포장가능|단체석,가능
