업체코드,ID,리뷰내용,작성일,평가카테고리
ST001,먹스타그램,국물이 너무 짜요. 나트륨 조절이 필요해 보여요.,2026-01-13,양이 적어요
ST001,맛집블로거,국물이 진하고 깊어요. 해장에 완벽한 집이에요!,2026-02-09,혼밥하기 좋아요
ST001,전주관광객,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-04-19,대기시간이 길어요
ST001,먹방러_03,오랜만에 왔는데 변함없이 맛있네요. 피순대국밥 강추!,2026-01-17,가성비가 좋아요
ST002,먹방러_01,친구랑 같이 왔는데 둘 다 너무 만족했어요. 남문피순대 최고!,2026-02-26,단체모임 하기 좋아요
ST002,taste_hunter99,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-01-19,양이 많아요
ST002,kimchi_lover,국물이 진하고 깊어요. 해장에 완벽한 집이에요!,2026-02-28,양이 많아요
ST002,순대국밥러버,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-01-09,주차하기 편해요
ST002,중화산동단골,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-01-19,맛있어요
ST002,맛집헌터B,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-03-02,가격이 비싸요
ST002,점심메이트,순대 양이 적어서 아쉬웠어요. 추가 주문했어요.,2026-05-05,재방문 의사 없어요
ST002,갈비사랑,이른 아침부터 문 열어서 해장하기 딱 좋아요.,2026-05-19,분위기가 좋아요
ST002,jb_local_guide,테이블 간격이 너무 좁아서 불편했어요.,2026-05-27,재방문 의사 없어요
ST002,jbfoodie_03,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-05-02,친절해요
ST002,처음방문최씨,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-05-02,특별한 날 가기 좋아요
ST002,낙지볶음팬,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-02-18,단체모임 하기 좋아요
ST002,foodstagram_kr,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-01-25,불친절해요
ST002,taste_kr_01,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-04-01,깨끗해요
ST002,jeonju_review04,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-04-16,주차하기 불편해요
ST002,food_jb_05,남문피순대 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-01-14,친절해요
ST002,맛집지도앱,가격 대비 양도 많고 맛도 훌륭해요. 남문피순대 단골 됐어요.,2026-01-16,양이 많아요
ST002,추어탕마니아,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-03-28,분위기가 별로예요
ST003,리뷰어_박씨,전주콩나물국밥(전북대점) 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-04-14,단체모임 하기 좋아요
ST003,travel_eater,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-05-26,단체모임 하기 좋아요
ST003,맛집소개정씨,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-05-29,분위기가 별로예요
ST003,먹방러_03,이른 아침부터 문 열어서 해장하기 딱 좋아요.,2026-01-11,혼밥하기 좋아요
ST003,객사맛집,전주콩나물국밥(전북대점) 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-04-18,특별한 날 가기 좋아요
ST003,jbfoodie_05,국물이 진하고 깊어요. 해장에 완벽한 집이에요!,2026-05-25,가성비가 좋아요
ST003,맛집헌터D,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-03-22,분위기가 별로예요
ST003,출장온회사원,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-02-22,가성비가 좋아요
ST003,다가동미식,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-03-03,깨끗해요
ST003,가족여행객,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-04-12,친절해요
ST003,jb_local_guide,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-18,맛이 별로예요
ST003,food_jb_03,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-03-22,재방문 의사 없어요
ST003,전북대생,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-01-03,혼밥하기 좋아요
ST003,foodlover_E,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-01-26,가격이 비싸요
ST003,전주맛집C,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-02-24,맛있어요
ST004,jeonju_eater,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-04-16,특별한 날 가기 좋아요
ST004,전라도미식가,가격 대비 양도 많고 맛도 훌륭해요. 두암식당 단골 됐어요.,2026-02-15,친절해요
ST004,전주시청직원,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-04-16,불친절해요
ST004,맛집소개정씨,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-03-10,혼밥하기 좋아요
ST004,전주관광객,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-01-28,맛이 별로예요
ST004,전주야경감상,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-01-10,재방문 의사 없어요
ST004,user_전주_01,두암식당 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-02-26,단체모임 하기 좋아요
ST004,국밥왕,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-04-28,양이 많아요
ST004,덕진공원산책후,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-20,대기시간이 길어요
ST004,food_review_kr,친구랑 같이 왔는데 둘 다 너무 만족했어요. 두암식당 최고!,2026-02-27,맛있어요
ST004,전북여행,오랜만에 왔는데 변함없이 맛있네요. 두암식당 강추!,2026-04-13,깨끗해요
ST004,중화산동단골,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-03-13,재방문 의사 없어요
ST004,순대국밥러버,가격 대비 양도 많고 맛도 훌륭해요. 두암식당 단골 됐어요.,2026-03-13,맛있어요
ST004,맛집헌터A,테이블 간격이 너무 좁아서 불편했어요.,2026-04-13,양이 적어요
ST004,전주맛집C,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-03-26,친절해요
ST004,punpun_eats,오랜만에 왔는데 변함없이 맛있네요. 두암식당 강추!,2026-01-30,특별한 날 가기 좋아요
ST004,출장온회사원,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-02-15,또 오고 싶어요
ST004,jbfoodie_04,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-03-09,가성비가 좋아요
ST004,jeollabuk_go,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-01-28,불친절해요
ST005,food_diary_jj,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-03-04,혼밥하기 좋아요
ST005,user_전주_02,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-06-06,가성비가 좋아요
ST005,전북대생,전주삼백집(전북대점) 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-04-27,깨끗해요
ST005,jeonju_review02,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-06-11,대기시간이 길어요
ST005,jbfoodie_03,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-02-19,주차하기 불편해요
ST005,막걸리투어,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-05-07,위생이 아쉬워요
ST005,콩나물국밥마니아,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-03-04,가성비가 좋아요
ST005,전주핫플,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-01-02,친절해요
ST005,리뷰왕김씨,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-04-19,혼밥하기 좋아요
ST005,전주한바퀴,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-02-15,분위기가 별로예요
ST005,맛집헌터C,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-04-29,맛있어요
ST005,전주여행자,전주삼백집(전북대점) 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-05-23,분위기가 좋아요
ST005,맛집소개정씨,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-02-01,가성비가 좋아요
ST005,food_jb_02,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-02-04,특별한 날 가기 좋아요
ST005,food_jb_04,친구랑 같이 왔는데 둘 다 너무 만족했어요. 전주삼백집(전북대점) 최고!,2026-05-16,주차하기 편해요
ST005,foodlover_D,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-06-02,깨끗해요
ST005,인후동탐방,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-04-24,주차하기 편해요
ST005,review_kr_05,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-04-20,위생이 아쉬워요
ST005,foodlover_A,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-04-25,위생이 아쉬워요
ST006,추어탕마니아,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-02-12,분위기가 좋아요
ST006,food_jb_05,친구랑 같이 왔는데 둘 다 너무 만족했어요. 황가네순대국 최고!,2026-02-02,혼밥하기 좋아요
ST006,전주맛집B,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-01-07,단체모임 하기 좋아요
ST006,전주비빔밥순례,오랜만에 왔는데 변함없이 맛있네요. 황가네순대국 강추!,2026-06-01,특별한 날 가기 좋아요
ST006,foodlover_E,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-01-07,혼밥하기 좋아요
ST006,신시가지탐방,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-04-20,맛이 별로예요
ST006,맛있어요123,순대가 쫄깃하고 내장도 깔끔해요. 국물도 진해요.,2026-04-29,혼밥하기 좋아요
ST006,전주살이,오랜만에 왔는데 변함없이 맛있네요. 황가네순대국 강추!,2026-01-13,혼밥하기 좋아요
ST006,출장온회사원,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-04-08,주차하기 편해요
ST006,삼천동리뷰,황가네순대국 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-02-24,맛있어요
ST006,food_jb_02,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-03-25,주차하기 편해요
ST006,전북도청직원,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-04-08,가격이 비싸요
ST006,점심메이트,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-04-18,주차하기 불편해요
ST006,전주토박이강씨,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-01-21,위생이 아쉬워요
ST006,user_전주_01,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-01-05,맛있어요
ST006,전주맛집D,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-01-14,대기시간이 길어요
ST007,food_jb_05,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-04-22,양이 적어요
ST007,먹방러_02,전주비빔밥나라(전북대점) 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-03-10,주차하기 편해요
ST007,송천동맛집,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-03-04,재방문 의사 없어요
ST007,jeonju_trip,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-03-13,양이 많아요
ST007,food_jb_01,돌솥에 나와서 따뜻하게 먹을 수 있어서 좋았어요.,2026-03-04,양이 많아요
ST007,food_jb_04,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-05-26,대기시간이 길어요
ST007,전주야경감상,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-03-28,분위기가 좋아요
ST007,punpun_eats,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-05-07,깨끗해요
ST007,삼천동리뷰,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-02-16,재방문 의사 없어요
ST007,user_전주_05,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-02-24,가성비가 좋아요
ST007,한옥마을관광,테이블 간격이 너무 좁아서 불편했어요.,2026-03-08,대기시간이 길어요
ST007,전주교육청,나물이 신선하고 고추장이 딱 적당해요. 전주 비빔밥 최고!,2026-03-13,주차하기 편해요
ST007,먹방러_03,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-03-12,주차하기 편해요
ST007,foodlover_C,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-01-03,깨끗해요
ST007,맛집헌터C,나물 가짓수가 줄어든 것 같아요. 예전이 더 풍성했는데.,2026-02-18,주차하기 불편해요
ST007,신시가지탐방,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-03-03,양이 많아요
ST007,낙지볶음팬,육회가 신선하고 고소해요. 전주 오면 꼭 먹어야 할 메뉴!,2026-05-06,맛있어요
ST008,user_전주_03,친구랑 같이 왔는데 둘 다 너무 만족했어요. 서신청국장 최고!,2026-01-30,양이 많아요
ST008,bibimbap_fan,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-04-13,특별한 날 가기 좋아요
ST008,review_kr_01,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-01-19,재방문 의사 없어요
ST008,jbfoodie_03,주차공간이 협소해서 근처 유료주차장 이용해야 했어요.,2026-06-11,가격이 비싸요
ST008,jeonju_local,가격 대비 양도 많고 맛도 훌륭해요. 서신청국장 단골 됐어요.,2026-02-08,단체모임 하기 좋아요
ST008,food_explorer_kr,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-05-25,주차하기 편해요
ST008,덕진구주민,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-01-22,가성비가 좋아요
ST008,맛집소개정씨,오랜만에 왔는데 변함없이 맛있네요. 서신청국장 강추!,2026-01-31,분위기가 좋아요
ST008,foodlover_C,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-04-17,맛이 별로예요
ST008,먹방러_03,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-06-08,분위기가 좋아요
ST008,맛집탐험대,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-05-14,불친절해요
ST008,전주야경감상,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-04-26,가성비가 좋아요
ST008,taste_kr_04,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-03-18,또 오고 싶어요
ST008,먹방러_01,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-04-20,친절해요
ST008,효자동단골,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-05-26,가성비가 좋아요
ST008,kimchi_lover,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-06-06,주차하기 편해요
ST008,맛집지도앱,TV에 나왔다더니 역시 맛있어요. 줄 서서 먹을 만한 집!,2026-02-23,분위기가 좋아요
ST008,갈비사랑,테이블 간격이 너무 좁아서 불편했어요.,2026-03-09,가격이 비싸요
ST008,객사맛집,오랜만에 왔는데 변함없이 맛있네요. 서신청국장 강추!,2026-02-10,분위기가 좋아요
ST009,점심메이트,콩나물이 아삭하고 국물이 개운해요. 해장국으로 최고!,2026-02-16,단체모임 하기 좋아요
ST009,jbfoodie_05,이른 아침부터 문 열어서 해장하기 딱 좋아요.,2026-04-22,가성비가 좋아요
ST009,review_kr_01,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-01-24,가성비가 좋아요
ST009,user_전주_01,국물이 너무 짜요. 나트륨 조절이 필요해 보여요.,2026-03-31,주차하기 불편해요
ST009,낙지볶음팬,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-03-27,위생이 아쉬워요
ST009,송천동맛집,국물이 진하고 깊어요. 해장에 완벽한 집이에요!,2026-01-27,가성비가 좋아요
ST009,맛집순례자,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-03-26,혼밥하기 좋아요
ST009,jeonju_review01,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-05-07,양이 적어요
ST009,해장국마니아,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-04-13,위생이 아쉬워요
ST009,foodlover_A,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-01-10,맛이 별로예요
ST009,food_jb_02,오랜만에 왔는데 변함없이 맛있네요. 원조할머니순대 강추!,2026-01-23,단체모임 하기 좋아요
ST009,다가동미식,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-03-06,주차하기 편해요
ST009,전주비빔밥러,원조할머니순대 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-04-14,주차하기 편해요
ST009,맛집헌터B,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-01-01,양이 많아요
ST009,전주맛집D,가격 대비 양도 많고 맛도 훌륭해요. 원조할머니순대 단골 됐어요.,2026-04-29,특별한 날 가기 좋아요
ST009,jeonju_local,순대 양이 적어서 아쉬웠어요. 추가 주문했어요.,2026-02-18,재방문 의사 없어요
ST010,food_diary_jj,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-03-23,특별한 날 가기 좋아요
ST010,user_전주_02,풍년제과(전북대점) 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-04-08,가성비가 좋아요
ST010,막걸리투어,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-02-08,분위기가 좋아요
ST010,review_kr_02,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-01-10,양이 많아요
ST010,전북맛집,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-05-09,위생이 아쉬워요
ST010,먹방러_02,친구랑 같이 왔는데 둘 다 너무 만족했어요. 풍년제과(전북대점) 최고!,2026-03-26,단체모임 하기 좋아요
ST010,맛집지도앱,위생 상태가 썩 좋아 보이지 않았어요. 개선이 필요해 보여요.,2026-04-23,가격이 비싸요
ST010,맛집헌터E,오랜만에 왔는데 변함없이 맛있네요. 풍년제과(전북대점) 강추!,2026-04-27,친절해요
ST010,gourmet_jb,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-02-06,가격이 비싸요
ST010,낙지볶음팬,친구랑 같이 왔는데 둘 다 너무 만족했어요. 풍년제과(전북대점) 최고!,2026-02-09,특별한 날 가기 좋아요
ST010,한옥마을단골,주차도 편하고 넓어서 가족 나들이하기 딱 좋은 곳이에요.,2026-05-01,주차하기 편해요
ST010,가족여행객,테이블 간격이 너무 좁아서 불편했어요.,2026-03-28,재방문 의사 없어요
ST010,피순대국밥팬,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-01-21,대기시간이 길어요
ST010,중화산동단골,가격 대비 양도 많고 맛도 훌륭해요. 풍년제과(전북대점) 단골 됐어요.,2026-05-17,친절해요
ST010,전주야경감상,빵이 촉촉하고 달콤해요. 포장 선물로 인기 만점.,2026-03-23,분위기가 좋아요
ST010,user_전주_05,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-05-19,혼밥하기 좋아요
ST010,jeollabuk_go,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-06-08,맛이 별로예요
ST010,순대국밥러버,관광지라 그런지 가격이 좀 비싸요.,2026-03-02,가격이 비싸요
ST010,해장국마니아,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-02-28,혼밥하기 좋아요
ST011,전주토박이강씨,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-02-05,분위기가 별로예요
ST011,foodstagram_kr,오랜만에 왔는데 변함없이 맛있네요. 미가식당 강추!,2026-06-10,특별한 날 가기 좋아요
ST011,맛있는하루,친구랑 같이 왔는데 둘 다 너무 만족했어요. 미가식당 최고!,2026-03-21,주차하기 편해요
ST011,taste_kr_03,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-01-09,양이 많아요
ST011,jbfoodie_04,오픈하자마자 갔는데 금방 자리가 찼어요. 역시 맛집이네요.,2026-04-04,가성비가 좋아요
ST011,jb_local_guide,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-01-24,깨끗해요
ST011,전주대학로,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-03-25,위생이 아쉬워요
ST011,jeonju_review02,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-02-14,또 오고 싶어요
ST011,국밥왕,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-02-03,분위기가 별로예요
ST011,전주맛집D,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-04-04,가격이 비싸요
ST011,전주맛집A,가격 대비 양도 많고 맛도 훌륭해요. 미가식당 단골 됐어요.,2026-05-09,친절해요
ST011,데이트장소탐색,반찬도 정갈하고 주인분도 친절해서 좋았습니다.,2026-02-12,단체모임 하기 좋아요
ST011,주말여행자,양이 정말 푸짐해요. 배부르게 먹고 갑니다.,2026-05-04,깨끗해요
ST011,전북도청직원,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-01-30,위생이 아쉬워요
ST011,food_jb_05,미가식당 정말 맛있어요! 전주 오면 꼭 들르는 곳입니다.,2026-01-20,단체모임 하기 좋아요
ST011,yummy_jeonju,반찬 리필을 안 해주더라고요. 조금 아쉬웠습니다.,2026-02-27,주차하기 불편해요
ST011,피순대국밥팬,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-05-23,가성비가 좋아요
ST011,객사주변직장인,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-01-24,혼밥하기 좋아요
ST011,gourmet_jb,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-03-09,양이 적어요
ST011,전주맛집C,직원분이 좀 불친절하셨어요. 바빠서 그런지 모르겠지만 아쉽네요.,2026-02-01,가격이 비싸요
ST012,전주여행자,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-03-27,맛이 별로예요
ST012,처음방문최씨,친구랑 같이 왔는데 둘 다 너무 만족했어요. 진미집 최고!,2026-02-02,주차하기 편해요
ST012,foodlover_E,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-02-22,혼밥하기 좋아요
ST012,순대국밥러버,오랜만에 왔는데 변함없이 맛있네요. 진미집 강추!,2026-05-22,양이 많아요
ST012,냉면마니아,맛은 평범한데 유명세 때문에 줄만 긴 것 같아요.,2026-05-31,위생이 아쉬워요
ST012,한옥마을여행,국물이 예전보다 좀 싱거워진 느낌이에요. 맛이 변한 것 같아요.,2026-03-01,분위기가 별로예요
ST012,중화산동단골,가격이 좀 올랐더라고요. 예전보다 비싸진 것 같아 아쉬워요.,2026-02-07,대기시간이 길어요
ST012,먹방러_03,전주 맛집 검색하다 발견했는데 정말 맛있었어요.,2026-01-01,특별한 날 가기 좋아요
ST012,혼밥러_전주,테이블 간격이 너무 좁아서 불편했어요.,2026-02-07,위생이 아쉬워요
ST012,jb_local_guide,전통 방식 그대로 만들어서 옛날 맛이 나요. 너무 좋아요.,2026-05-19,친절해요
ST012,전주토박이강씨,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-02-14,깨끗해요
ST012,맛집블로거,사장님이 너무 친절하셔서 기분 좋게 먹고 왔어요.,2026-01-07,깨끗해요
ST012,gourmet_jb,친구랑 같이 왔는데 둘 다 너무 만족했어요. 진미집 최고!,2026-04-02,혼밥하기 좋아요
ST012,리뷰어_박씨,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-05-31,혼밥하기 좋아요
ST012,송천동맛집,오랜만에 왔는데 변함없이 맛있네요. 진미집 강추!,2026-01-05,단체모임 하기 좋아요
ST012,한정식전문가,맛은 있는데 양이 조금 적은 것 같아요. 가격 생각하면 아쉬워요.,2026-03-09,분위기가 별로예요
ST012,jeonju_local,국물 맛이 깊고 진해요. 이 맛 때문에 자꾸 생각나요.,2026-02-02,주차하기 편해요
ST012,jeonju_review03,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-05-15,가성비가 좋아요
ST013,jeonju_review02,오랜만에 왔는데 변함없이 맛있네요. 전주육회비빔밥(전북대점) 강추!,2026-01-25,양이 많아요
ST013,다가동미식,재료가 신선하고 국물이 진해요. 다음에 또 올게요!,2026-04-20,깨끗해요
ST013,주말여행자,육회가 신선하고 고소해요. 전주 오면 꼭 먹어야 할 메뉴!,2026-04-06,주차하기 편해요
ST013,미식여행자,친구랑 같이 왔는데 둘 다 너무 만족했어요. 전주육회비빔밥(전북대점) 최고!,2026-05-02,가성비가 좋아요
ST013,순대국밥러버,혼자 와도 편하게 먹을 수 있어서 자주 오게 되는 집이에요.,2026-01-24,또 오고 싶어요
ST013,신시가지탐방,주말에 갔더니 대기가 너무 길었어요. 웨이팅 30분 이상은 각오하세요.,2026-01-24,재방문 의사 없어요
