업체명,업체코드,업체카테고리,주소,전화번호,별점,업체사진,편의성정보,주차여부,영업시간
우노스,1530011364,베이커리,전북 전주시 덕진구 권삼득로 350 우노스,0507-1314-7181,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250118_249%2F1737182917830ic4m6_JPEG%2FIMG_0498.jpeg,테이크아웃 할인_비건 메뉴_유기농 메뉴_포장_무선 인터넷,가능,월: 09:00 - 18:00 | 화: 09:00 - 18:00 | 수: 09:00 - 18:00 | 목: 09:00 - 18:00 | 금: 09:00 - 18:00 | 토: 09:00 - 18:00 | 일: 09:00 - 18:00
코지버거,1496549723,햄버거,전북 전주시 덕진구 명륜3길 9 4 1층,063-902-9593,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260312_269%2F1773241787454895th_JPEG%2FIMG_2871.jpeg,포장_배달_무선 인터넷,불가,월: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 화: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 수: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 목: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 금: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 토: 11:00 - 21:00 | 일: 11:00 - 21:00
이너프샐러드 전북대 본점,1534410624,"다이어트,샐러드",전북 전주시 덕진구 명륜4길 21 1,0507-1430-4547,4.68,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240816_178%2F1723787276947h6V0J_JPEG%2F3D6A2887.jpg,비건 메뉴_포장_배달_대기공간,불가,월: 08:00 - 20:00 (브레이크타임: 14:00 - 15:00) | 화: 08:00 - 20:00 (브레이크타임: 14:00 - 15:00) | 수: 08:00 - 20:00 (브레이크타임: 14:00 - 15:00) | 목: 08:00 - 20:00 (브레이크타임: 14:00 - 15:00) | 금: 08:00 - 20:00 (브레이크타임: 14:00 - 15:00) | 토: 08:00 - 19:30 (브레이크타임: 14:00 - 15:00) | 일: 08:00 - 19:30 (브레이크타임: 14:00 - 15:00)
효자동 스테이크펍,1036508971,양식,전북 전주시 완산구 송정중앙로 62 스테이크펍,0507-1368-9875,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260214_238%2F1771071198851AEamO_PNG%2F1000070196.png,콜키지 가능유료_테이크아웃 할인_단체 이용 가능_포장_배달_예약_무선 인터넷_남/녀 화장실 구분_방문접수/출장_\반려동물 동반_유아의자_대기공간_출입구 휠체어 이용가능_좌석 휠체어 이용가능,가능,월: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 화: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 수: 17:00 - 21:00 | 목: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 금: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 토: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 일: 17:00 - 21:00
카페타이니하우스,1003090099,"카페,디저트",전북 전주시 덕진구 전주천동로 473 르네블루빌딩 1층 카페타이니하우스,0507-1316-1409,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260529_46%2F1780021704069IITlF_JPEG%2F2313836C-88CA-4660-A581-3768CF7C5235.jpg,포장_남/녀 화장실 구분_단체 이용 가능_대기공간_예약_배달_화장실 휠체어 이용가능_출입구 휠체어 이용가능_좌석 휠체어 이용가능,가능,월: 08:30 - 18:00 (라스트오더: 17:45) | 화: 08:30 - 18:00 (라스트오더: 17:45) | 수: 08:30 - 18:00 (라스트오더: 17:45) | 목: 08:30 - 18:00 (라스트오더: 17:45) | 금: 08:30 - 18:00 (라스트오더: 17:45) | 토: 09:00 - 18:00 (라스트오더: 17:45) | 일: 09:00 - 18:00 (라스트오더: 17:45)
만만 전북대점,2065226658,요리주점,전북 전주시 덕진구 명륜3길 18 5 1층,0507-1328-7610,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260425_60%2F1777050892768JdKJg_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5_%25286%2529.jpg,생일 혜택_단체 이용 가능_예약_무선 인터넷_남/녀 화장실 구분,불가,월: 17:00 - 다음 날 05:00 | 화: 17:00 - 다음 날 05:00 | 수: 17:00 - 다음 날 05:00 | 목: 17:00 - 다음 날 05:00 | 금: 17:00 - 다음 날 05:00 | 토: 17:00 - 다음 날 05:00 | 일: 17:00 - 다음 날 05:00
통집,17474756,한식,전북 전주시 덕진구 삼송1길 35,063-277-8454,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_83%2F1589827136900jKVyd_JPEG%2Fmwwu4wBBNZoo8RnFIpDLyP6E.jpeg.jpg,단체 이용 가능_포장_남/녀 화장실 구분,불가,월: 10:30 - 다음 날 02:00 | 화: 10:30 - 다음 날 02:00 | 수: 10:30 - 다음 날 02:00 | 목: 10:30 - 다음 날 02:00 | 금: 10:30 - 다음 날 02:00 | 토: 10:30 - 다음 날 02:00 | 일: 17:00 - 24:00
금암소바,17122958,"우동,소바",전북 전주시 덕진구 기린대로 400 75 금암소바,0507-1341-0945,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190429_65%2F15565044973327q2gl_JPEG%2FSYYFDrMpjVPW7h5I7LXzut9y.jpeg.jpg,남/녀 화장실 구분,가능,월: 11:00 - 19:30 (라스트오더: 19:00) | 화: 정기휴무 | 수: 11:00 - 19:30 (라스트오더: 19:00) | 목: 11:00 - 19:30 (라스트오더: 19:00) | 금: 11:00 - 19:30 (라스트오더: 19:00) | 토: 11:00 - 19:30 (라스트오더: 19:00) | 일: 11:00 - 19:30 (라스트오더: 19:00)
에그하우스,2049748405,오므라이스,전북 전주시 덕진구 권삼득로 319 1 1층,0507-1308-9673,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260512_75%2F17785461249458OTFP_JPEG%2F%25BB%25E7%25C1%25F81.jpg,무선 인터넷_유아의자_포장_배달_단체 이용 가능,가능,"월: 11:00 - 21:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 20:30) | 화: 11:00 - 21:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 20:30) | 수: 11:00 - 21:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 20:30) | 목: 11:00 - 21:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 20:30) | 금: 11:00 - 21:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 20:30) | 토: 11:00 - 21:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 20:30) | 일: 11:00 - 21:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 20:30)"
멘야케이 금암본점,375214427,일본식라면,전북 전주시 덕진구 떡전4길 18 멘야케이,0507-1375-2365,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260531_153%2F1780215655573dyikt_JPEG%2FKakaoTalk_20260531_135129929.jpg,무선 인터넷_포장_배달,불가,월: 11:00 - 21:00 (라스트오더: 20:30) | 화: 11:00 - 21:00 (라스트오더: 20:30) | 수: 11:00 - 21:00 (라스트오더: 20:30) | 목: 11:00 - 21:00 (라스트오더: 20:30) | 금: 11:00 - 21:00 (라스트오더: 20:30) | 토: 11:00 - 21:00 (라스트오더: 20:30) | 일: 11:00 - 21:00 (라스트오더: 20:30)
The담다,1729691935,돈가스,전북 전주시 덕진구 권삼득로 333 원플러스빌딩 1층,063-275-7778,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171020_79%2F1508427327501V7TCc_JPEG%2FhK8Q6jI_d9TuGSmsWbddGCmc.jpg,포장_무선 인터넷_남/녀 화장실 구분,가능,"월: 11:00 - 20:50 (브레이크타임: 14:30 - 17:00, 라스트오더: 20:20) | 화: 11:00 - 20:50 (브레이크타임: 14:30 - 17:00, 라스트오더: 20:20) | 수: 11:00 - 20:50 (브레이크타임: 14:30 - 17:00, 라스트오더: 20:20) | 목: 11:00 - 20:50 (브레이크타임: 14:30 - 17:00, 라스트오더: 20:20) | 금: 11:00 - 20:50 (브레이크타임: 14:30 - 17:00, 라스트오더: 20:20) | 토: 11:00 - 20:50 (브레이크타임: 14:30 - 17:00, 라스트오더: 20:20) | 일: 11:00 - 20:50 (브레이크타임: 14:30 - 17:00, 라스트오더: 20:20)"
치히로 전북대점,1446516924,일식당,전북 전주시 덕진구 권삼득로 305 1,070-8287-0913,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230111_101%2F1673435874183uiuX1_JPEG%2F%25B4%25EB%25B9%25AE.jpg,예약_포장,불가,월: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 화: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 수: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 목: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 금: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 토: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 일: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00)
메르밀진미집 금암동직영점,34825919,국수,전북 전주시 덕진구 권삼득로 202,063-276-4020,4.23,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260531_232%2F1780215958079oFyI0_JPEG%2F2026_6%25BF%25F9_7%25BF%25F9_%25C0%25DA%25BB%25F6%25B0%25ED%25B1%25B8%25B8%25B6_%25C4%25E1%25B1%25B9%25BC%25F6___%25B0%25F8%25C1%25F6%25BF%25EB.jpg,테이크아웃 할인_단체 이용 가능_포장_배달_예약_남/녀 화장실 구분_무선 인터넷_유아의자_\반려동물 동반_대기공간_장애인 주차구역,가능,월: 10:00 - 20:00 (라스트오더: 19:30) | 화: 10:00 - 20:00 (라스트오더: 19:30) | 수: 10:00 - 20:00 (라스트오더: 19:30) | 목: 10:00 - 20:00 (라스트오더: 19:30) | 금: 10:00 - 20:00 (라스트오더: 19:30) | 토: 10:00 - 20:00 (라스트오더: 19:30) | 일: 10:00 - 20:00 (라스트오더: 19:30)
계근상 전북대점,2012739239,닭볶음탕,전북 전주시 덕진구 명륜4길 11 1 계근상,0507-1385-9111,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260524_121%2F1779595363459cre6q_JPEG%2F72643.jpg,콜키지 가능무료_무한 리필_단체 이용 가능_포장_배달_남/녀 화장실 구분_무선 인터넷,불가,월: 00:00 - 24:00 | 화: 00:00 - 24:00 | 수: 00:00 - 24:00 | 목: 00:00 - 24:00 | 금: 00:00 - 24:00 | 토: 00:00 - 24:00 | 일: 00:00 - 24:00
투썸플레이스 전주전북대점,32708547,카페,전북 전주시 덕진구 권삼득로 307,0507-1304-2388,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231024_28%2F1698116956974WBAFd_JPEG%2F1000011006.jpg,예약_무선 인터넷,불가,월: 10:00 - 22:00 | 화: 10:00 - 22:00 | 수: 10:00 - 22:00 | 목: 10:00 - 22:00 | 금: 10:00 - 22:00 | 토: 10:00 - 22:00 | 일: 10:00 - 22:00
한국관 본점,11728244,비빔밥,전북 전주시 덕진구 기린대로 425,063-272-9229,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160705_64%2F1467710121086DgfMY_JPEG%2F1.jpg,편의시설 정보 없음,가능,월: 11:30 - 20:30 (브레이크타임: 16:00 - 17:00) | 화: 11:30 - 20:30 (브레이크타임: 16:00 - 17:00) | 수: 11:30 - 20:30 (브레이크타임: 16:00 - 17:00) | 목: 11:30 - 20:30 (브레이크타임: 16:00 - 17:00) | 금: 11:30 - 20:30 (브레이크타임: 16:00 - 17:00) | 토: 11:30 - 20:30 (브레이크타임: 16:00 - 17:00) | 일: 11:30 - 20:30 (브레이크타임: 16:00 - 17:00)
도야짬뽕 전북대점,1195097272,중식당,전북 전주시 덕진구 명륜4길 20 2층,0507-1413-5009,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240818_108%2F1723966588368sNNo2_JPEG%2FA9Y03902.jpg,무한 리필_단체 이용 가능_포장_배달_예약_무선 인터넷_남/녀 화장실 구분_유아의자,불가,"월: 10:50 - 다음 날 02:30 (라스트오더: 02:00) | 화: 10:50 - 다음 날 02:30 (브레이크타임: 21:00 - 22:00, 라스트오더: 02:00) | 수: 10:50 - 다음 날 02:30 (라스트오더: 02:00) | 목: 10:50 - 다음 날 02:30 (라스트오더: 02:00) | 금: 10:50 - 다음 날 02:30 (라스트오더: 02:00) | 토: 10:50 - 다음 날 02:30 (라스트오더: 02:00) | 일: 10:50 - 다음 날 02:30 (라스트오더: 02:00)"
순정닭발 전북대점,95978698,닭발,전북 전주시 덕진구 명륜5길 18,0507-1434-5889,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240418_252%2F1713423620411cgh8I_JPEG%2FIMG_9039.jpeg,단체 이용 가능_포장_배달_무선 인터넷_\반려동물 동반,불가,월: 16:00 - 다음 날 02:00 | 화: 16:00 - 다음 날 02:00 | 수: 16:00 - 다음 날 02:00 | 목: 16:00 - 다음 날 02:00 | 금: 16:00 - 다음 날 02:00 | 토: 16:00 - 다음 날 02:00 | 일: 16:00 - 다음 날 02:00
뉴뉴키친,1687072934,양식,전북 전주시 덕진구 권삼득로 311 1층,0507-1328-9775,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260423_256%2F1776915141149BDCnV_JPEG%2FIMG_8959.jpeg,편의시설 정보 없음,가능,월: 11:00 - 21:00 (라스트오더: 20:15) | 화: 11:00 - 21:00 (라스트오더: 20:15) | 수: 11:00 - 21:00 (라스트오더: 20:15) | 목: 11:00 - 21:00 (라스트오더: 20:15) | 금: 11:00 - 21:00 (라스트오더: 20:15) | 토: 11:00 - 21:00 (라스트오더: 20:15) | 일: 11:00 - 21:00 (라스트오더: 20:15)
태평집,13163796,국수,전북 전주시 덕진구 조경단로 3 6,063-255-2252,0.0,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_27%2F1441000643620kmd0h_JPEG%2FSUBMIT_1430376803921_13163796.jpg,편의시설 정보 없음,가능,월: 정기휴무 | 화: 10:30 - 15:00 (라스트오더: 14:45) | 수: 10:30 - 15:00 (라스트오더: 14:45) | 목: 10:30 - 15:00 (라스트오더: 14:45) | 금: 10:30 - 15:00 (라스트오더: 14:45) | 토: 10:30 - 15:00 (라스트오더: 14:45) | 일: 10:30 - 15:00 (라스트오더: 14:45)
가마,34006669,양식,전북 전주시 완산구 전주객사4길 74 2층 가마,0507-1309-8521,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260309_40%2F1773031718705T0Ifb_JPEG%2FP20260227_132034672_502321F5-DB07-4B2A-8CBC-C996E40E0FC3.jpg,예약_포장_무선 인터넷_남/녀 화장실 구분_단체 이용 가능_유아의자_대기공간_장애인 주차구역,가능,"월: 11:30 - 22:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 21:10) | 화: 11:30 - 22:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 21:10) | 수: 11:30 - 22:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 21:10) | 목: 11:30 - 22:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 21:10) | 금: 11:30 - 22:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 21:10) | 토: 11:30 - 22:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 21:10) | 일: 11:30 - 22:00 (브레이크타임: 15:00 - 16:30, 라스트오더: 21:10)"
양반가,11782597,한정식,전북 전주시 완산구 최명희길 30 2,063-282-0054,4.01,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240420_294%2F1713544695636uc4dE_JPEG%2F1713544556488.jpg,콜키지 가능유료_유기농 메뉴_비건 메뉴_단체 이용 가능_남/녀 화장실 구분_무선 인터넷_예약_포장_대기공간_출입구 휠체어 이용가능_좌석 휠체어 이용가능,불가,월: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 화: 정기휴무 | 수: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 목: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 금: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 토: 11:00 - 21:00 (브레이크타임: 15:00 - 17:00) | 일: 정기휴무
